LocationGeoid,PeerGeoid1,PeerGeoid2,PeerGeoid3,PeerGeoid4,PeerGeoid5,PeerGeoid6,PeerGeoid7,PeerGeoid8,PeerGeoid9,PeerGeoid10,PeerGeoid11,PeerGeoid12,PeerGeoid13,PeerGeoid14,PeerGeoid15,PeerGeoid16
16000US0611530,16000US4134100,16000US0613210,16000US4023200,16000US3650617,16000US0613392,16000US4982950,16000US1757225,16000US2649000,16000US0628000,16000US0666000,16000US0877290,16000US4848072,16000US0608786,16000US1724582,16000US0665042,16000US0668196
16000US4134100,16000US0613210,16000US4023200,16000US3650617,16000US0613392,16000US4982950,16000US1757225,16000US2649000,16000US0628000,16000US0666000,16000US0877290,16000US4848072,16000US0608786,16000US1724582,16000US0665042,16000US0668196,16000US5116000
16000US0613210,16000US4023200,16000US3650617,16000US0613392,16000US4982950,16000US1757225,16000US2649000,16000US0628000,16000US0666000,16000US0877290,16000US4848072,16000US0608786,16000US1724582,16000US0665042,16000US0668196,16000US5116000,16000US1368516
16000US4023200,16000US3650617,16000US0613392,16000US4982950,16000US1757225,16000US2649000,16000US0628000,16000US0666000,16000US0877290,16000US4848072,16000US0608786,16000US1724582,16000US0665042,16000US0668196,16000US5116000,16000US1368516,16000US4813024
16000US3650617,16000US0613392,16000US4982950,16000US1757225,16000US2649000,16000US0628000,16000US0666000,16000US0877290,16000US4848072,16000US0608786,16000US1724582,16000US0665042,16000US0668196,16000US5116000,16000US1368516,16000US4813024,16000US0668084
16000US0613392,16000US4982950,16000US1757225,16000US2649000,16000US0628000,16000US0666000,16000US0877290,16000US4848072,16000US0608786,16000US1724582,16000US0665042,16000US0668196,16000US5116000,16000US1368516,16000US4813024,16000US0668084,16000US0614218
16000US4982950,16000US1757225,16000US2649000,16000US0628000,16000US0666000,16000US0877290,16000US4848072,16000US0608786,16000US1724582,16000US0665042,16000US0668196,16000US5116000,16000US1368516,16000US4813024,16000US0668084,16000US0614218,16000US5357745
16000US1757225,16000US2649000,16000US0628000,16000US0666000,16000US0877290,16000US4848072,16000US0608786,16000US1724582,16000US0665042,16000US0668196,16000US5116000,16000US1368516,16000US4813024,16000US0668084,16000US0614218,16000US5357745,16000US2555745
16000US2649000,16000US0628000,16000US0666000,16000US0877290,16000US4848072,16000US0608786,16000US1724582,16000US0665042,16000US0668196,16000US5116000,16000US1368516,16000US4813024,16000US0668084,16000US0614218,16000US5357745,16000US2555745,16000US4943660
16000US0628000,16000US0666000,16000US0877290,16000US4848072,16000US0608786,16000US1724582,16000US0665042,16000US0668196,16000US5116000,16000US1368516,16000US4813024,16000US0668084,16000US0614218,16000US5357745,16000US2555745,16000US4943660,16000US1214400
16000US0666000,16000US0877290,16000US4848072,16000US0608786,16000US1724582,16000US0665042,16000US0668196,16000US5116000,16000US1368516,16000US4813024,16000US0668084,16000US0614218,16000US5357745,16000US2555745,16000US4943660,16000US1214400,16000US0685292
16000US0877290,16000US4848072,16000US0608786,16000US1724582,16000US0665042,16000US0668196,16000US5116000,16000US1368516,16000US4813024,16000US0668084,16000US0614218,16000US5357745,16000US2555745,16000US4943660,16000US1214400,16000US0685292,16000US3413690
16000US4848072,16000US0608786,16000US1724582,16000US0665042,16000US0668196,16000US5116000,16000US1368516,16000US4813024,16000US0668084,16000US0614218,16000US5357745,16000US2555745,16000US4943660,16000US1214400,16000US0685292,16000US3413690,16000US5182000
16000US0608786,16000US1724582,16000US0665042,16000US0668196,16000US5116000,16000US1368516,16000US4813024,16000US0668084,16000US0614218,16000US5357745,16000US2555745,16000US4943660,16000US1214400,16000US0685292,16000US3413690,16000US5182000,16000US0669070
16000US1724582,16000US0665042,16000US0668196,16000US5116000,16000US1368516,16000US4813024,16000US0668084,16000US0614218,16000US5357745,16000US2555745,16000US4943660,16000US1214400,16000US0685292,16000US3413690,16000US5182000,16000US0669070,16000US0602252
16000US0665042,16000US0668196,16000US5116000,16000US1368516,16000US4813024,16000US0668084,16000US0614218,16000US5357745,16000US2555745,16000US4943660,16000US1214400,16000US0685292,16000US3413690,16000US5182000,16000US0669070,16000US0602252,16000US0883835
16000US0668196,16000US5116000,16000US1368516,16000US4813024,16000US0668084,16000US0614218,16000US5357745,16000US2555745,16000US4943660,16000US1214400,16000US0685292,16000US3413690,16000US5182000,16000US0669070,16000US0602252,16000US0883835,16000US0619766
